column,primary_label,secondary_labels,confidence,all_confidences,description,unit,tags
democracy_score_use_as_color,demographics,"['economy', 'environment']",0.4427272379398346,"[0.4427272379398346, 0.11827228218317032, 0.10010924935340881]",democracy score use as color,count,"['democracy', 'score', 'use', 'as', 'color']"
desalinated_water_produced_billion_cu_meters,environment,"['safety', 'economy']",0.3922009766101837,"[0.3922009766101837, 0.18788886070251465, 0.17032861709594727]",desalinated water produced billion cu meters,count,"['desalinated', 'water', 'produced', 'billion', 'cu', 'meters']"
diarrhoeal_deaths_in_children_1_59_months_per_1000_births,demographics,"['safety', 'economy']",0.3894617259502411,"[0.3894617259502411, 0.20888808369636536, 0.11017392575740814]",diarrhoeal deaths in children 1 59 months per 1000 births,count,"['diarrhoeal', 'deaths', 'in', 'children', '1', '59', 'months', 'per', '1000', 'births']"
diarrhoeal_deaths_in_children_1_59_months_total_deaths,demographics,"['safety', 'economy']",0.32630062103271484,"[0.32630062103271484, 0.17873989045619965, 0.16530469059944153]",diarrhoeal deaths in children 1 59 months total deaths,count,"['diarrhoeal', 'deaths', 'in', 'children', '1', '59', 'months', 'total', 'deaths']"
diarrhoeal_deaths_in_newborn_per_1000_births,demographics,"['safety', 'environment']",0.30040934681892395,"[0.30040934681892395, 0.2558978497982025, 0.1299087107181549]",diarrhoeal deaths in newborn per 1000 births,count,"['diarrhoeal', 'deaths', 'in', 'newborn', 'per', '1000', 'births']"
diarrhoeal_deaths_in_newborn_total_deaths,demographics,"['safety', 'economy']",0.24611839652061462,"[0.24611839652061462, 0.21290211379528046, 0.18295422196388245]",diarrhoeal deaths in newborn total deaths,count,"['diarrhoeal', 'deaths', 'in', 'newborn', 'total', 'deaths']"
dollar_billionaires_per_million_people,demographics,"['economy', 'social wellbeing']",0.49067482352256775,"[0.49067482352256775, 0.20095255970954895, 0.15354104340076447]",dollar billionaires per million people,count,"['dollar', 'billionaires', 'per', 'million', 'people']"
drought_affected_annual_number,environment,"['demographics', 'economy']",0.6999384760856628,"[0.6999384760856628, 0.0577123798429966, 0.05682190880179405]",drought affected annual number,count,"['drought', 'affected', 'annual', 'number']"
drought_deaths_annual_number,environment,"['demographics', 'safety']",0.5979970693588257,"[0.5979970693588257, 0.19988518953323364, 0.0535670667886734]",drought deaths annual number,count,"['drought', 'deaths', 'annual', 'number']"
drownings_per_100000_people,demographics,"['safety', 'environment']",0.39169782400131226,"[0.39169782400131226, 0.3176195025444031, 0.08251309394836426]",drownings per 100000 people,count,"['drownings', 'per', '100000', 'people']"
earthquake_affected_annual_number,environment,"['safety', 'economy']",0.36491620540618896,"[0.36491620540618896, 0.16462759673595428, 0.12273856997489929]",earthquake affected annual number,count,"['earthquake', 'affected', 'annual', 'number']"
earthquake_deaths_annual_number,environment,"['safety', 'demographics']",0.3050267994403839,"[0.3050267994403839, 0.21828992664813995, 0.16278725862503052]",earthquake deaths annual number,count,"['earthquake', 'deaths', 'annual', 'number']"
economic_growth_over_the_past_10_years,economy,"['safety', 'environment']",0.9313578605651855,"[0.9313578605651855, 0.017306244000792503, 0.013306071981787682]",economic growth over the past 10 years,count,"['economic', 'growth', 'over', 'the', 'past', '10', 'years']"
economical_infrastructure_aid_given_percent_of_aid,economy,"['environment', 'safety']",0.9194390177726746,"[0.9194390177726746, 0.02617517299950123, 0.02031715214252472]",economical infrastructure aid given % of aid,percent,"['economical', 'infrastructure', 'aid', 'given', 'percent', 'of', 'aid']"
education_aid_given_percent_of_aid,education,"['social wellbeing', 'economy']",0.9524585008621216,"[0.9524585008621216, 0.010520488023757935, 0.008532418869435787]",education aid given % of aid,percent,"['education', 'aid', 'given', 'percent', 'of', 'aid']"
electricity_generation_per_person,economy,"['demographics', 'environment']",0.36778202652931213,"[0.36778202652931213, 0.22978727519512177, 0.10077695548534393]",electricity generation per person,count,"['electricity', 'generation', 'per', 'person']"
electricity_generation_total,economy,"['demographics', 'environment']",0.430012971162796,"[0.430012971162796, 0.12083056569099426, 0.11544572561979294]",electricity generation total,count,"['electricity', 'generation', 'total']"
electricity_use_per_person,economy,"['demographics', 'environment']",0.5142026543617249,"[0.5142026543617249, 0.15968067944049835, 0.1044476181268692]",electricity use per person,count,"['electricity', 'use', 'per', 'person']"
energy_from_solid_biofuels_percent,economy,"['environment', 'demographics']",0.6836779117584229,"[0.6836779117584229, 0.18026979267597198, 0.03695352375507355]",energy from solid biofuels %,percent,"['energy', 'from', 'solid', 'biofuels', 'percent']"
energy_production_per_person,economy,"['demographics', 'environment']",0.7477325201034546,"[0.7477325201034546, 0.07621314376592636, 0.047626592218875885]",energy production per person,count,"['energy', 'production', 'per', 'person']"
energy_production_total,economy,"['environment', 'demographics']",0.8619683980941772,"[0.8619683980941772, 0.04004144296050072, 0.02465631626546383]",energy production total,count,"['energy', 'production', 'total']"
energy_supply_per_person_toe,economy,"['physical health', 'social wellbeing']",0.5405740737915039,"[0.5405740737915039, 0.10670286417007446, 0.10143771022558212]",energy supply per person toe,count,"['energy', 'supply', 'per', 'person', 'toe']"
energy_use_per_person,economy,"['environment', 'demographics']",0.6619096398353577,"[0.6619096398353577, 0.13074490427970886, 0.09289431571960449]",energy use per person,count,"['energy', 'use', 'per', 'person']"
epidemic_affected_annual_number,environment,"['demographics', 'social wellbeing']",0.27553117275238037,"[0.27553117275238037, 0.26623600721359253, 0.1116766482591629]",epidemic affected annual number,count,"['epidemic', 'affected', 'annual', 'number']"
epidemic_deaths_annual_number,demographics,"['environment', 'economy']",0.42007341980934143,"[0.42007341980934143, 0.20261695981025696, 0.09608566015958786]",epidemic deaths annual number,count,"['epidemic', 'deaths', 'annual', 'number']"
expenditure_per_student_primary_percent_of_gdp_per_person,economy,"['education', 'demographics']",0.37138131260871887,"[0.37138131260871887, 0.3213486075401306, 0.08271778374910355]",expenditure per student primary % of gdp per person,percent,"['expenditure', 'per', 'student', 'primary', 'percent', 'of', 'gdp', 'per', 'person']"
expenditure_per_student_secondary_percent_of_gdp_per_person,education,"['economy', 'demographics']",0.31449535489082336,"[0.31449535489082336, 0.31056487560272217, 0.10269760340452194]",expenditure per student secondary % of gdp per person,percent,"['expenditure', 'per', 'student', 'secondary', 'percent', 'of', 'gdp', 'per', 'person']"
expenditure_per_student_tertiary_percent_of_gdp_per_person,education,"['economy', 'demographics']",0.6575733423233032,"[0.6575733423233032, 0.17787568271160126, 0.0430561825633049]",expenditure per student tertiary % of gdp per person,percent,"['expenditure', 'per', 'student', 'tertiary', 'percent', 'of', 'gdp', 'per', 'person']"
exports_percent_of_gdp,economy,"['environment', 'safety']",0.8374285101890564,"[0.8374285101890564, 0.052729278802871704, 0.02223818749189377]",exports % of gdp,percent,"['exports', 'percent', 'of', 'gdp']"
exports_unit_value_index_2015_100,economy,"['environment', 'safety']",0.36378276348114014,"[0.36378276348114014, 0.28564247488975525, 0.12654970586299896]",exports unit value index 2015 100,count,"['exports', 'unit', 'value', 'index', '2015', '100']"
external_debt_total_us_not_inflation_adjusted,environment,"['economy', 'safety']",0.33749428391456604,"[0.33749428391456604, 0.24129125475883484, 0.15418696403503418]",external debt total us not inflation adjusted,count,"['external', 'debt', 'total', 'us', 'not', 'inflation', 'adjusted']"
extreme_poverty_percent_people_below_300_a_day,demographics,"['economy', 'environment']",0.5625196099281311,"[0.5625196099281311, 0.12322835624217987, 0.10403510183095932]",extreme poverty % people below 300 a day,percent,"['extreme', 'poverty', 'percent', 'people', 'below', '300', 'a', 'day']"
extreme_temperature_affected_annual_number,environment,"['physical health', 'demographics']",0.536466658115387,"[0.536466658115387, 0.09852969646453857, 0.08956556767225266]",extreme temperature affected annual number,count,"['extreme', 'temperature', 'affected', 'annual', 'number']"
extreme_temperature_deaths_annual_number,environment,"['economy', 'safety']",0.5067418217658997,"[0.5067418217658997, 0.10610945522785187, 0.10400062799453735]",extreme temperature deaths annual number,count,"['extreme', 'temperature', 'deaths', 'annual', 'number']"
falls_deaths_per_100000_people,demographics,"['safety', 'social wellbeing']",0.3265671133995056,"[0.3265671133995056, 0.23309257626533508, 0.12095183879137039]",falls deaths per 100000 people,count,"['falls', 'deaths', 'per', '100000', 'people']"
family_workers_percent_of_employment,demographics,"['social wellbeing', 'economy']",0.4101558029651642,"[0.4101558029651642, 0.3422331213951111, 0.10519924759864807]",family workers % of employment,percent,"['family', 'workers', 'percent', 'of', 'employment']"
female_agriculture_workers_percent_of_female_employment,demographics,"['social wellbeing', 'economy']",0.902798056602478,"[0.902798056602478, 0.021523745730519295, 0.020773012191057205]",female agriculture workers % of female employment,percent,"['female', 'agriculture', 'workers', 'percent', 'of', 'female', 'employment']"
female_family_workers_percent_of_female_employment,demographics,"['social wellbeing', 'economy']",0.599799633026123,"[0.599799633026123, 0.2416476607322693, 0.05357462912797928]",female family workers % of female employment,percent,"['female', 'family', 'workers', 'percent', 'of', 'female', 'employment']"
female_industry_workers_percent_of_female_employment,demographics,"['economy', 'environment']",0.739917516708374,"[0.739917516708374, 0.09773759543895721, 0.041930753737688065]",female industry workers % of female employment,percent,"['female', 'industry', 'workers', 'percent', 'of', 'female', 'employment']"
female_long_term_unemployment_rate_percent,demographics,"['economy', 'social wellbeing']",0.7704715132713318,"[0.7704715132713318, 0.10958577692508698, 0.039694156497716904]",female long term unemployment rate %,percent,"['female', 'long', 'term', 'unemployment', 'rate', 'percent']"
female_population_with_projections,demographics,"['social wellbeing', 'safety']",0.8359857797622681,"[0.8359857797622681, 0.05875556543469429, 0.027590826153755188]",female population with projections,count,"['female', 'population', 'with', 'projections']"
female_salaried_workers_percent_of_non_agricultural_female_employment,demographics,"['social wellbeing', 'economy']",0.6683403849601746,"[0.6683403849601746, 0.11044664680957794, 0.0907004177570343]",female salaried workers % of non agricultural female employment,percent,"['female', 'salaried', 'workers', 'percent', 'of', 'non', 'agricultural', 'female', 'employment']"
female_self_employed_percent_of_female_employment,demographics,"['social wellbeing', 'economy']",0.6236035227775574,"[0.6236035227775574, 0.12364955991506577, 0.12287570536136627]",female self employed % of female employment,percent,"['female', 'self', 'employed', 'percent', 'of', 'female', 'employment']"
female_service_workers_percent_of_female_employment,demographics,"['social wellbeing', 'environment']",0.6786779165267944,"[0.6786779165267944, 0.14376209676265717, 0.05433102697134018]",female service workers % of female employment,percent,"['female', 'service', 'workers', 'percent', 'of', 'female', 'employment']"
females_aged_15_24_employment_rate_percent,demographics,"['economy', 'social wellbeing']",0.7580152750015259,"[0.7580152750015259, 0.0919506698846817, 0.043084852397441864]",females aged 15 24 employment rate %,percent,"['females', 'aged', '15', '24', 'employment', 'rate', 'percent']"
females_aged_15_24_unemployment_rate_percent,demographics,"['economy', 'social wellbeing']",0.813992440700531,"[0.813992440700531, 0.07048673927783966, 0.04125266894698143]",females aged 15 24 unemployment rate %,percent,"['females', 'aged', '15', '24', 'unemployment', 'rate', 'percent']"
females_aged_15_64_labour_force_participation_rate_percent,demographics,"['economy', 'social wellbeing']",0.7740904688835144,"[0.7740904688835144, 0.09635909646749496, 0.036528926342725754]",females aged 15 64 labour force participation rate %,percent,"['females', 'aged', '15', '64', 'labour', 'force', 'participation', 'rate', 'percent']"
females_aged_15plus_employment_rate_percent,demographics,"['economy', 'social wellbeing']",0.750946581363678,"[0.750946581363678, 0.09427876770496368, 0.04589230194687843]",females aged 15plus employment rate %,percent,"['females', 'aged', '15plus', 'employment', 'rate', 'percent']"
females_aged_15plus_labour_force_participation_rate_percent,demographics,"['economy', 'social wellbeing']",0.7997757792472839,"[0.7997757792472839, 0.0954279974102974, 0.029424553737044334]",females aged 15plus labour force participation rate %,percent,"['females', 'aged', '15plus', 'labour', 'force', 'participation', 'rate', 'percent']"
females_aged_15plus_unemployment_rate_percent,demographics,"['economy', 'social wellbeing']",0.8087850213050842,"[0.8087850213050842, 0.07751137018203735, 0.03818676620721817]",females aged 15plus unemployment rate %,percent,"['females', 'aged', '15plus', 'unemployment', 'rate', 'percent']"
females_aged_25_54_labour_force_participation_rate_percent,demographics,"['economy', 'social wellbeing']",0.795486569404602,"[0.795486569404602, 0.08622359484434128, 0.03377213701605797]",females aged 25 54 labour force participation rate %,percent,"['females', 'aged', '25', '54', 'labour', 'force', 'participation', 'rate', 'percent']"
females_aged_25_54_unemployment_rate_percent,demographics,"['economy', 'social wellbeing']",0.8311349749565125,"[0.8311349749565125, 0.06542257219552994, 0.034408289939165115]",females aged 25 54 unemployment rate %,percent,"['females', 'aged', '25', '54', 'unemployment', 'rate', 'percent']"
females_aged_55_64_unemployment_rate_percent,demographics,"['economy', 'social wellbeing']",0.8219983577728271,"[0.8219983577728271, 0.06656774133443832, 0.036749619990587234]",females aged 55 64 unemployment rate %,percent,"['females', 'aged', '55', '64', 'unemployment', 'rate', 'percent']"
females_aged_65plus_labour_force_participation_rate_percent,demographics,"['economy', 'social wellbeing']",0.7997660636901855,"[0.7997660636901855, 0.08248435705900192, 0.03934847190976143]",females aged 65plus labour force participation rate %,percent,"['females', 'aged', '65plus', 'labour', 'force', 'participation', 'rate', 'percent']"
females_aged_65plus_unemployment_rate_percent,demographics,"['economy', 'social wellbeing']",0.8264172673225403,"[0.8264172673225403, 0.06505117565393448, 0.034842487424612045]",females aged 65plus unemployment rate %,percent,"['females', 'aged', '65plus', 'unemployment', 'rate', 'percent']"
fixed_line_subscribers_per_100_people,demographics,"['environment', 'economy']",0.45958903431892395,"[0.45958903431892395, 0.15003159642219543, 0.14365676045417786]",fixed line subscribers per 100 people,count,"['fixed', 'line', 'subscribers', 'per', '100', 'people']"
flood_affected_annual_number,environment,"['safety', 'demographics']",0.6740925908088684,"[0.6740925908088684, 0.11055084317922592, 0.05161551386117935]",flood affected annual number,count,"['flood', 'affected', 'annual', 'number']"
flood_deaths_annual_number,environment,"['safety', 'demographics']",0.7326824069023132,"[0.7326824069023132, 0.09162086993455887, 0.06044870242476463]",flood deaths annual number,count,"['flood', 'deaths', 'annual', 'number']"
food_supply_kilocalories_per_person_and_day,economy,"['safety', 'demographics']",0.4211941659450531,"[0.4211941659450531, 0.13592109084129333, 0.13470786809921265]",food supply kilocalories per person and day,count,"['food', 'supply', 'kilocalories', 'per', 'person', 'and', 'day']"
foreign_direct_investment_net_inflows_percent_of_gdp,economy,"['safety', 'environment']",0.8762090802192688,"[0.8762090802192688, 0.04370853304862976, 0.03428336977958679]",foreign direct investment net inflows % of gdp,percent,"['foreign', 'direct', 'investment', 'net', 'inflows', 'percent', 'of', 'gdp']"
foreign_direct_investment_net_outflows_percent_of_gdp,economy,"['safety', 'environment']",0.858015775680542,"[0.858015775680542, 0.045585379004478455, 0.045337677001953125]",foreign direct investment net outflows % of gdp,percent,"['foreign', 'direct', 'investment', 'net', 'outflows', 'percent', 'of', 'gdp']"
forest_area_sq_km,environment,"['economy', 'safety']",0.8842541575431824,"[0.8842541575431824, 0.03189856931567192, 0.023418724536895752]",forest area sq km,count,"['forest', 'area', 'sq', 'km']"
forest_coverage_percent,environment,"['safety', 'economy']",0.7547141909599304,"[0.7547141909599304, 0.06805169582366943, 0.051988385617733]",forest coverage %,percent,"['forest', 'coverage', 'percent']"
forest_land_total_area_ha,environment,"['economy', 'safety']",0.846483588218689,"[0.846483588218689, 0.04345828294754028, 0.03615589812397957]",forest land total area ha,count,"['forest', 'land', 'total', 'area', 'ha']"
forest_products_removal_per_ha_dollar,environment,"['economy', 'safety']",0.7867687344551086,"[0.7867687344551086, 0.096089668571949, 0.02899227663874626]",forest products removal per ha dollar,count,"['forest', 'products', 'removal', 'per', 'ha', 'dollar']"
forest_products_removal_total_dollar,environment,"['economy', 'safety']",0.7609395384788513,"[0.7609395384788513, 0.10765881091356277, 0.031427301466464996]",forest products removal total dollar,count,"['forest', 'products', 'removal', 'total', 'dollar']"
gdp_per_capita_yearly_growth,economy,"['demographics', 'social wellbeing']",0.35476911067962646,"[0.35476911067962646, 0.1681852638721466, 0.13877004384994507]",gdp per capita yearly growth,count,"['gdp', 'per', 'capita', 'yearly', 'growth']"
gdp_total_yearly_growth,economy,"['environment', 'safety']",0.3929406702518463,"[0.3929406702518463, 0.13596351444721222, 0.11088691651821136]",gdp total yearly growth,count,"['gdp', 'total', 'yearly', 'growth']"
gdppercapita_growth_over_next_10_years,economy,"['demographics', 'physical health']",0.4343724250793457,"[0.4343724250793457, 0.20788398385047913, 0.09573788195848465]",gdppercapita growth over next 10 years,count,"['gdppercapita', 'growth', 'over', 'next', '10', 'years']"
gdppercapita_growth_percent_per_year,economy,"['safety', 'social wellbeing']",0.4561247229576111,"[0.4561247229576111, 0.10453549772500992, 0.10141171514987946]",gdppercapita growth % per year,percent,"['gdppercapita', 'growth', 'percent', 'per', 'year']"
gdppercapita_us_inflation_adjusted,economy,"['demographics', 'safety']",0.4169904589653015,"[0.4169904589653015, 0.14041554927825928, 0.11840040981769562]",gdppercapita us inflation adjusted,count,"['gdppercapita', 'us', 'inflation', 'adjusted']"
gdpperemployee_us_inflation_adjusted,demographics,"['economy', 'environment']",0.41229987144470215,"[0.41229987144470215, 0.2703200876712799, 0.09196539223194122]",gdpperemployee us inflation adjusted,count,"['gdpperemployee', 'us', 'inflation', 'adjusted']"
gdpperworking_hour_us_inflation_adjusted,economy,"['safety', 'environment']",0.45031848549842834,"[0.45031848549842834, 0.11740164458751678, 0.11365192383527756]",gdpperworking hour us inflation adjusted,count,"['gdpperworking', 'hour', 'us', 'inflation', 'adjusted']"
gnipercapita_atlasmethod_current_us,economy,"['safety', 'demographics']",0.2625358998775482,"[0.2625358998775482, 0.1698317974805832, 0.1570039838552475]",gnipercapita atlasmethod current us,count,"['gnipercapita', 'atlasmethod', 'current', 'us']"
gnipercapita_constant_2015_us,safety,"['demographics', 'economy']",0.19997954368591309,"[0.19997954368591309, 0.19733478128910065, 0.1817382127046585]",gnipercapita constant 2015 us,count,"['gnipercapita', 'constant', '2015', 'us']"
gnipercapita_ppp_current_international,demographics,"['economy', 'social wellbeing']",0.3903232216835022,"[0.3903232216835022, 0.1569206714630127, 0.11675803363323212]",gnipercapita ppp current international,count,"['gnipercapita', 'ppp', 'current', 'international']"
government_and_society_aid_given_percent_of_aid,social wellbeing,"['economy', 'safety']",0.4397282600402832,"[0.4397282600402832, 0.13875031471252441, 0.12768852710723877]",government and society aid given % of aid,percent,"['government', 'and', 'society', 'aid', 'given', 'percent', 'of', 'aid']"
government_health_spending_of_total_gov_spending_percent,social wellbeing,"['physical health', 'economy']",0.3279827833175659,"[0.3279827833175659, 0.16538241505622864, 0.1336694061756134]",government health spending of total gov spending %,percent,"['government', 'health', 'spending', 'of', 'total', 'gov', 'spending', 'percent']"
government_health_spending_per_person_international_dollar,social wellbeing,"['economy', 'physical health']",0.26257389783859253,"[0.26257389783859253, 0.19470460712909698, 0.18161913752555847]",government health spending per person international dollar,count,"['government', 'health', 'spending', 'per', 'person', 'international', 'dollar']"
government_health_spending_per_person_us,social wellbeing,"['physical health', 'economy']",0.22916077077388763,"[0.22916077077388763, 0.20287856459617615, 0.14671602845191956]",government health spending per person us,count,"['government', 'health', 'spending', 'per', 'person', 'us']"
government_share_of_total_health_spending_percent,economy,"['social wellbeing', 'physical health']",0.3515741229057312,"[0.3515741229057312, 0.16232937574386597, 0.1274545043706894]",government share of total health spending %,percent,"['government', 'share', 'of', 'total', 'health', 'spending', 'percent']"
hdi_human_development_index,social wellbeing,"['physical health', 'demographics']",0.40132346749305725,"[0.40132346749305725, 0.1449919044971466, 0.12388797104358673]",hdi human development index,count,"['hdi', 'human', 'development', 'index']"
health_aid_given_percent_of_aid,social wellbeing,"['safety', 'physical health']",0.3070307970046997,"[0.3070307970046997, 0.2536267042160034, 0.1436949223279953]",health aid given % of aid,percent,"['health', 'aid', 'given', 'percent', 'of', 'aid']"
high_technology_exports_percent_of_manufactured_exports,economy,"['safety', 'environment']",0.26621273159980774,"[0.26621273159980774, 0.15637309849262238, 0.15302500128746033]",high technology exports % of manufactured exports,percent,"['high', 'technology', 'exports', 'percent', 'of', 'manufactured', 'exports']"
hiv_deaths_in_children_1_59_months_per_1000_births,demographics,"['safety', 'economy']",0.42339617013931274,"[0.42339617013931274, 0.24873729050159454, 0.08978035300970078]",hiv deaths in children 1 59 months per 1000 births,count,"['hiv', 'deaths', 'in', 'children', '1', '59', 'months', 'per', '1000', 'births']"
hiv_deaths_in_children_1_59_months_total_deaths,demographics,"['safety', 'economy']",0.2955254316329956,"[0.2955254316329956, 0.24456922709941864, 0.15839269757270813]",hiv deaths in children 1 59 months total deaths,count,"['hiv', 'deaths', 'in', 'children', '1', '59', 'months', 'total', 'deaths']"
hourly_labour_cost_constant_2021_usd,economy,"['social wellbeing', 'safety']",0.4939807057380676,"[0.4939807057380676, 0.10529825836420059, 0.10120053589344025]",hourly labour cost constant 2021 usd,count,"['hourly', 'labour', 'cost', 'constant', '2021', 'usd']"
hydro_power_generation_per_person,demographics,"['economy', 'environment']",0.33184441924095154,"[0.33184441924095154, 0.21196143329143524, 0.14758595824241638]",hydro power generation per person,count,"['hydro', 'power', 'generation', 'per', 'person']"
hydro_power_generation_total,economy,"['environment', 'demographics']",0.3039543926715851,"[0.3039543926715851, 0.18069852888584137, 0.15966179966926575]",hydro power generation total,count,"['hydro', 'power', 'generation', 'total']"
ifpri_underweight_children,physical health,"['demographics', 'safety']",0.3649480938911438,"[0.3649480938911438, 0.24620671570301056, 0.11650560051202774]",ifpri underweight children,count,"['ifpri', 'underweight', 'children']"
imports_percent_of_gdp,economy,"['environment', 'social wellbeing']",0.7120749354362488,"[0.7120749354362488, 0.07478591799736023, 0.04672597721219063]",imports % of gdp,percent,"['imports', 'percent', 'of', 'gdp']"
imports_unit_value_index_2015_100,economy,"['environment', 'safety']",0.24360017478466034,"[0.24360017478466034, 0.19877798855304718, 0.19608256220817566]",imports unit value index 2015 100,count,"['imports', 'unit', 'value', 'index', '2015', '100']"
income_mountains,economy,"['environment', 'social wellbeing']",0.8749147653579712,"[0.8749147653579712, 0.04712866619229317, 0.017526717856526375]",income mountains,count,"['income', 'mountains']"
income_per_person_long_series,economy,"['social wellbeing', 'demographics']",0.8753332495689392,"[0.8753332495689392, 0.030193280428647995, 0.02516688033938408]",income per person long series,count,"['income', 'per', 'person', 'long', 'series']"
income_per_person_with_projections,economy,"['social wellbeing', 'demographics']",0.8458868265151978,"[0.8458868265151978, 0.03885699063539505, 0.03087739460170269]",income per person with projections,count,"['income', 'per', 'person', 'with', 'projections']"
income_share_of_2nd_poorest_20percent,economy,"['demographics', 'social wellbeing']",0.5578343868255615,"[0.5578343868255615, 0.24761980772018433, 0.085280641913414]",income share of 2nd poorest 20%,percent,"['income', 'share', 'of', '2nd', 'poorest', '20percent']"
income_share_of_2nd_richest_20percent,economy,"['demographics', 'safety']",0.6691128611564636,"[0.6691128611564636, 0.11724597215652466, 0.07418281584978104]",income share of 2nd richest 20%,percent,"['income', 'share', 'of', '2nd', 'richest', '20percent']"
income_share_of_middle_20percent,economy,"['demographics', 'social wellbeing']",0.49161356687545776,"[0.49161356687545776, 0.29780149459838867, 0.07843116670846939]",income share of middle 20%,percent,"['income', 'share', 'of', 'middle', '20percent']"
income_share_of_poorest_10percent,economy,"['demographics', 'social wellbeing']",0.5359627604484558,"[0.5359627604484558, 0.26940006017684937, 0.1011001467704773]",income share of poorest 10%,percent,"['income', 'share', 'of', 'poorest', '10percent']"
income_share_of_poorest_20percent,economy,"['demographics', 'social wellbeing']",0.5225228667259216,"[0.5225228667259216, 0.2797446548938751, 0.10317379236221313]",income share of poorest 20%,percent,"['income', 'share', 'of', 'poorest', '20percent']"
income_share_of_richest_10percent,economy,"['demographics', 'safety']",0.7332423329353333,"[0.7332423329353333, 0.0885755717754364, 0.05778566747903824]",income share of richest 10%,percent,"['income', 'share', 'of', 'richest', '10percent']"
income_share_of_richest_20percent,economy,"['demographics', 'safety']",0.7100213766098022,"[0.7100213766098022, 0.10147866606712341, 0.06158645451068878]",income share of richest 20%,percent,"['income', 'share', 'of', 'richest', '20percent']"
industrial_water_withdrawal_percent_of_total,economy,"['environment', 'safety']",0.40947428345680237,"[0.40947428345680237, 0.25817742943763733, 0.10254267603158951]",industrial water withdrawal % of total,percent,"['industrial', 'water', 'withdrawal', 'percent', 'of', 'total']"
industry_percent_of_gdp,economy,"['safety', 'physical health']",0.7884792685508728,"[0.7884792685508728, 0.041339211165905, 0.03585470840334892]",industry % of gdp,percent,"['industry', 'percent', 'of', 'gdp']"
industry_workers_percent_of_employment,economy,"['demographics', 'social wellbeing']",0.7244268655776978,"[0.7244268655776978, 0.1006690189242363, 0.044294897466897964]",industry workers % of employment,percent,"['industry', 'workers', 'percent', 'of', 'employment']"
inequality_index_gini,environment,"['economy', 'social wellbeing']",0.36427977681159973,"[0.36427977681159973, 0.34366869926452637, 0.07722801715135574]",inequality index gini,count,"['inequality', 'index', 'gini']"
infant_mortality_rate_per_1000_births,demographics,"['safety', 'economy']",0.48572611808776855,"[0.48572611808776855, 0.2719842791557312, 0.06363524496555328]",infant mortality rate per 1000 births,count,"['infant', 'mortality', 'rate', 'per', '1000', 'births']"
infectious_tb_detection_rate_percent,environment,"['physical health', 'safety']",0.32053524255752563,"[0.32053524255752563, 0.15370795130729675, 0.12956790626049042]",infectious tb detection rate %,percent,"['infectious', 'tb', 'detection', 'rate', 'percent']"
infectious_tb_detection_rate_percent_dots_only,environment,"['safety', 'economy']",0.2742176651954651,"[0.2742176651954651, 0.16077357530593872, 0.13833139836788177]",infectious tb detection rate % dots only,percent,"['infectious', 'tb', 'detection', 'rate', 'percent', 'dots', 'only']"
infectious_tb_new_cases_per_100000_estimated,environment,"['demographics', 'economy']",0.2881849706172943,"[0.2881849706172943, 0.19630061089992523, 0.13785330951213837]",infectious tb new cases per 100000 estimated,count,"['infectious', 'tb', 'new', 'cases', 'per', '100000', 'estimated']"
infectious_tb_new_cases_per_100000_reported,environment,"['demographics', 'economy']",0.2726357579231262,"[0.2726357579231262, 0.20504985749721527, 0.15380828082561493]",infectious tb new cases per 100000 reported,count,"['infectious', 'tb', 'new', 'cases', 'per', '100000', 'reported']"
infectious_tb_number_of_new_cases_estimated,environment,"['economy', 'physical health']",0.29551079869270325,"[0.29551079869270325, 0.16179440915584564, 0.12765057384967804]",infectious tb number of new cases estimated,count,"['infectious', 'tb', 'number', 'of', 'new', 'cases', 'estimated']"
infectious_tb_number_of_new_cases_reported,environment,"['economy', 'physical health']",0.3360489308834076,"[0.3360489308834076, 0.16133509576320648, 0.12891614437103271]",infectious tb number of new cases reported,count,"['infectious', 'tb', 'number', 'of', 'new', 'cases', 'reported']"
infectious_tb_treatment_dots_completed_percent,environment,"['economy', 'physical health']",0.2708406448364258,"[0.2708406448364258, 0.17928650975227356, 0.14149920642375946]",infectious tb treatment dots completed %,percent,"['infectious', 'tb', 'treatment', 'dots', 'completed', 'percent']"
inflation_annual_percent,economy,"['environment', 'safety']",0.42531952261924744,"[0.42531952261924744, 0.11764893680810928, 0.11676257848739624]",inflation annual %,percent,"['inflation', 'annual', 'percent']"
injury_deaths_in_children_1_59_months_per_1000_births,safety,"['demographics', 'physical health']",0.3720105290412903,"[0.3720105290412903, 0.2952403426170349, 0.11328910291194916]",injury deaths in children 1 59 months per 1000 births,count,"['injury', 'deaths', 'in', 'children', '1', '59', 'months', 'per', '1000', 'births']"
injury_deaths_in_children_1_59_months_total_deaths,safety,"['demographics', 'economy']",0.2845628261566162,"[0.2845628261566162, 0.24779927730560303, 0.16691099107265472]",injury deaths in children 1 59 months total deaths,count,"['injury', 'deaths', 'in', 'children', '1', '59', 'months', 'total', 'deaths']"
internal_renewable_water_cu_meters_per_person,environment,"['safety', 'economy']",0.27300649881362915,"[0.27300649881362915, 0.2544405460357666, 0.19648398458957672]",internal renewable water cu meters per person,count,"['internal', 'renewable', 'water', 'cu', 'meters', 'per', 'person']"
